# This file was automatically generated from the https://github.com/Belarus/GrammarDB
# data (Grammar Database of Belarusian language) using the RELEASE-202309 tag.
# Creative Commons Attribution-ShareAlike 4.0 International License.
#
# Uses UTF-8 format with U+0301 stress marks and U+2BC apostrophes. Each line lists
# a pair of alternative spelling variants of the same word delimited by '|'.
# Intended to be used by ebook dictionaries. If these two are not separate headwords
# in a dictionary, then it makes sense to link them together.
#
Ілья́|Ілля́
ке́тгут|кетгу́т
клаўна́да|клауна́да
клаўна́дны|клауна́дны
кло́ўн|кло́ун
кло́ўнскі|кло́унскі
ко́жны|ко́жын
ко́шар|ко́шэр
кра́тар|кра́тэр
кра́тарны|кра́тэрны
крайвыканка́м|крайвыканко́м
крайка́м|крайко́м
крацянё́|крацяня́
крумкачанё́|крумкачаня́
кры́ху|крыху́
крывяны́|крывя́ны
крыке́т|кры́кет
крытэ́рый|крытэ́р
крэ́йцар|крэ́йцэр
крэ́чатаў|крэ́чатавы
ксеракапі́раванне|ксеракапірава́нне
ксеракапі́раваны|ксеракапірава́ны
ксеракапі́равацца|ксеракапірава́цца
ксеракапі́раваць|ксеракапірава́ць
кузаўны́|ку́заўны
кумпя́чына|кумпячы́на
куранё́|кураня́
куявя́к|куя́вяк
кі́дальны|кіда́льны
кі́дацца|кіда́цца
кі́даць|кіда́ць
кі́навар|кінава́р
кіда́льны|кі́дальны
кіда́льнік|кі́дальнік
кіда́льніца|кі́дальніца
кіда́нне|кі́данне
кільва́тар|кільва́тэр
кільва́тарны|кільва́тэрны
ла́а|ла́о
лагарыфмава́ць|лагарыфмі́раваць
лака́ўт|лака́ут
лака́ўтчык|лака́утчык
лакаўтава́ць|лакаутава́ць
ламінава́ць|ламіні́раваць
ланка́старскі|ланка́стэрскі
ланцу́жны|ланцужны́
ласка́ва|ла́скава
ласянё́|ласяня́
лаці́нянка|лаціня́нка
лаці́нянін|лаціня́нін
лашачанё́|лашачаня́
ле́кавацца|лекава́цца
ле́каваць|лекава́ць
лебедзянё́|лебедзяня́
легі́раванне|легірава́нне
лекпа́м|лекпо́м
